MLS#,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP ,BEDS,BATHS,SQUARE FEET,LOT SIZE,Age,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
3531334,Single Family Residential,33 HOLLY Dr,Millburn Twp.,NJ,07078-1356,5,4.5,5100,27442,,1,,40.7526521,-74.3184668,1585000
3531234,Single Family Residential,11 WORDSWORTH Rd,Millburn Twp.,NJ,07078-2926,6,4,3500,15681,67,1,,40.7398952,-74.3441988,1285000
3531083,Single Family Residential,150 HARTSHORN Dr,Millburn Twp.,NJ,07078-1613,7,8.5,10791,64033,61,2,,40.7424345,-74.3226602,3888000
3531035,Single Family Residential,95 FAIRFIELD Dr,Millburn Twp.,NJ,07078-1718,5,3.5,3513,20908,68,3,,40.7488734,-74.3078108,1488000
3530999,Single Family Residential,63 CRESCENT Pl,Millburn Twp.,NJ,07078-3423,5,4.5,4509,23086,129,3,,40.7256237,-74.3218353,1988000
3530920,Single Family Residential,30 ADDISON Dr,Millburn Twp.,NJ,07078-1808,7,6.5,8400,24393,1,4,,40.7328282,-74.3460547,2950000
3530904,Single Family Residential,18 TENNYSON Dr,Millburn Twp.,NJ,07078-1002,5,3.5,,22215,63,4,,40.7349174,-74.3498351,1295000
3530851,Single Family Residential,1 BIRCHWOOD Dr,Millburn Twp.,NJ,07078-3311,4,2.5,2320,11761,58,4,,40.7214294,-74.3289388,895000
1905047,Single Family Residential,4 Hardwell Rd,Millburn,NJ,7078,5,5.5,,61877,,5,,40.7367565,-74.3095983,2395000
3530582,Single Family Residential,23 SLAYTON Dr,Millburn Twp.,NJ,07078-1534,4,2.5,,20908,63,5,,40.7389255,-74.339433,1195000
3530571,Single Family Residential,8 OAKDALE Ave,Millburn Twp.,NJ,07041-1904,3,2.5,,3920,89,5,,40.7237252,-74.2877921,690000
3530454,Single Family Residential,100 OLD HOLLOW Rd,Millburn Twp.,NJ,07078-2145,3,3.5,,17424,71,5,,40.741247,-74.3127149,1185000
3530390,Single Family Residential,134 GLEN Ave,Millburn Twp.,NJ,07041-1722,4,2,,10454,67,6,,40.7251327,-74.2996523,475000
3530363,Single Family Residential,8 ROSEDALE Ave,Millburn Twp.,NJ,07041-1916,5,3,,4356,92,6,,40.7246822,-74.2864055,739000
3530353,Single Family Residential,76 FAR BROOK Dr,Millburn Twp.,NJ,7078,6,5.5,,23522,1,6,,40.746014,-74.322917,2775000
3530352,Single Family Residential,19 SHERWOOD Rd,Millburn Twp.,NJ,07078-2038,6,6.5,7200,19166,1,6,,40.7299063,-74.3171835,2850000
3530346,Single Family Residential,29 GREAT HILLS Ter,Millburn Twp.,NJ,07078-1339,4,3.5,,13939,82,6,,40.751011,-74.315969,959000
3530343,Single Family Residential,91 OAKVIEW Ter,Millburn Twp.,NJ,07078-2466,5,4.5,,6969,84,6,,40.72327,-74.3266015,1199000
3530232,Single Family Residential,30 KILMER Dr,Millburn Twp.,NJ,07078-3103,4,3.5,,9583,72,6,,40.753744,-74.3103317,1249000
3530207,Single Family Residential,76 CHESTNUT St,Millburn Twp.,NJ,07041-2123,4,3,2700,4791,99,6,,40.7256148,-74.2961688,875000
3530099,Single Family Residential,20 FALMOUTH St,Millburn Twp.,NJ,07078-1904,4,3.5,,14374,,6,,40.7330224,-74.3390893,1448000
1904723,Single Family Residential,11 Quaker Rd,Millburn,NJ,7078,4,5,,20051,,7,,40.7324199,-74.3375313,1625000
1904722,Single Family Residential,17 Oak Hill Rd,Millburn,NJ,7078,5,2.5,,6599,,7,,40.7230629,-74.3270598,1100000
3530036,Single Family Residential,474 WHITE OAK RIDGE Rd,Millburn Twp.,NJ,07078-1270,4,2.5,,20037,54,7,,40.7507824,-74.3254558,949000
3529977,Single Family Residential,22 BURNSIDE Dr,Millburn Twp.,NJ,07078-2105,4,3,2701,17859,80,7,,40.7331797,-74.3108358,1235000
3529954,Single Family Residential,11 WYNDHAM Rd,Millburn Twp.,NJ,07078-2806,4,3,,12196,89,7,,40.7268704,-74.3235768,1199000
3529953,Single Family Residential,43 HARAN Cir,Millburn Twp.,NJ,07041-1403,4,3,,6969,65,7,,40.7178381,-74.296673,850000
3529921,Single Family Residential,22 TROY Dr,Millburn Twp.,NJ,07078-1334,6,6.5,,40075,64,7,,40.7512088,-74.3171148,2088000
1904619,Single Family Residential,137 Silver Spring Rd,Millburn,NJ,7078,6,6.5,,11500,,7,,40.7524448,-74.3093233,1925000
1904533,Single Family Residential,100 Stewart Rd,Millburn,NJ,7078,7,7.5,,39400,,8,,40.7372936,-74.3286409,3175000
3529668,Single Family Residential,401 LONG HILL Dr,Millburn Twp.,NJ,07078-1205,6,3.5,,20908,41,8,,40.747116,-74.3302219,1450000
